% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:17
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
1.3247999999999998        -2.5815                  9.5698                   5.630206368917418E18
-2.7513999999999994       1.0199999999999998       9.5598                   5.6364991639894385E18
2.7478                    1.1185999999999998       9.5498                   5.6573789323952609E18
-1.2842999999999998       -2.7099                  9.5398                   5.5915078870054113E18
-0.8928499999999999       2.8959                   9.5298                   5.6713125562988104E18
2.6415                    -1.5480999999999998      9.5198                   5.6107801803332045E18
-3.0237                   -0.64931                 9.5098                   5.6162040870814761E18
1.8087                    2.5462                   9.4997                   5.688955871600511E18
0.39                      -3.1293                  9.4897                   5.5954836759992566E18
-2.4241999999999995       2.0633999999999997       9.4797                   5.6268431902563553E18
3.211                     0.1171                   9.4697                   5.6162540563146762E18
-2.3094999999999994       -2.2759                  9.4597                   5.5825890936547277E18
0.16705999999999996       3.2672                   9.4497                   5.687524675091457E18
2.1020999999999996        -2.5442                  9.4397                   5.5967067526082703E18
-3.2968                   0.45996                  9.4297                   5.6058867405427057E18
2.7649                    1.9037999999999997       9.4197                   5.6511052790740398E18
-0.7590199999999999       -3.2986999999999997      9.4097                   5.5664789032351846E18
-1.6822                   2.9691                   9.3997                   5.6296750147413023E18
3.2721                    -1.0614999999999999      9.3897                   5.5829641020017787E18
-3.1544999999999996       -1.4388                  9.3797                   5.5814583215363389E18
1.3646999999999998        3.2165999999999997       9.3697                   5.6600810202756547E18
1.1755                    -3.3188                  9.3597                   5.5823809706358292E18
-3.132                    1.6656                   9.3497                   5.5906383932549929E18
3.4599999999999995        0.8940099999999999       9.3397                   5.6036191399618949E18
-1.9615999999999998       -3.0182                  9.3297                   5.5504892334687693E18
-0.59663                  3.576                    9.3197                   5.6449547302110976E18
2.8757                    -2.2496                  9.3097                   5.5618159423620157E18
-3.6653999999999995       -0.28567                 9.2996                   5.5837831906971658E18
2.527                     2.7049999999999996       9.2896                   5.6352997700167813E18
-0.036358999999999995     -3.7264999999999997      9.2796                   5.5473734807536353E18
-2.5069999999999997       2.7907999999999995       9.2696                   5.5887303344894638E18
3.7582999999999998        -0.3668199999999999      9.2596                   5.5625467604620564E18
-3.0385999999999997       -2.2829                  9.2496                   5.5466883589524777E18
0.7029299999999999        3.7597                   9.2396                   5.6349460050904801E18
2.0339999999999994        -3.2674999999999996      9.2296                   5.5555031114626294E18
-3.7301                   1.0417999999999998       9.2196                   5.5589841238586327E18
3.4753999999999996        1.7621                   9.2096                   5.598791732965804E18
-1.3806                   -3.669                   9.1996                   5.5209796353795891E18
-1.469                    3.6596999999999995       9.1896                   5.6004522030284534E18
3.5761999999999996        -1.7162999999999997      9.1796                   5.5329092888787046E18
-3.8183999999999996       -1.1569                  9.1696                   5.5508533910136535E18
2.0458                    3.4521                   9.1596                   5.605518237229569E18
0.82801                   -3.9496                  9.1496                   5.5344896288110141E18
-3.2968999999999995       2.3662                   9.1396                   5.5504179120525076E18
4.0517                    0.48488999999999993      9.1296                   5.5504795122358026E18
-2.6745999999999994       -3.1113                  9.1196                   5.513144204921986E18
-0.13022                  4.123                    9.1096                   5.6183178614905897E18
2.8964                    -2.9679999999999995      9.0995                   5.5182925686719877E18
-4.1624                   0.23318999999999998      9.0895                   5.5332769123858207E18
3.2435999999999994        2.6535                   9.0795                   5.5874322010768435E18
-0.6024                   -4.169                   9.0695                   5.5009636569850839E18
-2.384                    3.4988                   9.0595                   5.5564790832106107E18
4.1421                    -0.97438                 9.0495                   5.5136259537328435E18
-3.7308999999999997       -2.0898                  9.0395                   5.5144241170509507E18
1.3459999999999999        4.0812                   9.0295                   5.580847296017877E18
1.7728999999999997        -3.9377                  9.0195                   5.5203864895762227E18
-3.9863                   1.7142                   9.0095                   5.5164091294924759E18
4.1168                    1.4354999999999998       8.9995                   5.5452121835839232E18
-2.0757                   -3.8574999999999995      8.9895                   5.4819070448011858E18
-1.0801999999999998       4.2664                   8.9795                   5.5774980566537155E18
3.6953999999999994        -2.4274                  8.9695                   5.486875230370942E18
-4.3845                   -0.7095599999999999      8.9595                   5.5176224320246047E18
2.7662                    3.5007                   8.9495                   5.5548270415597937E18
0.32643999999999995       -4.4698                  8.939499999999999        5.4871568610854124E18
-3.2744999999999997       3.0891                   8.929499999999999        5.5152651785237402E18
4.5209                    -0.066168                8.919499999999998        5.5011854269930967E18
-3.393                    -3.0181                  8.909499999999998        5.4790352997193769E18
0.46517                   4.5369                   8.8994                   5.5622470798555412E18
2.7332                    -3.6751999999999994      8.8894                   5.4799182245965517E18
-4.517                    0.86735                  8.8794                   5.4881222580568586E18
3.933                     2.4216999999999995       8.8694                   5.5451158166157302E18
-1.2694                   -4.4608                  8.8594                   5.4566357673467361E18
-2.0857                   4.163799999999999        8.8494                   5.5301733084740516E18
4.3683                    -1.6681                  8.8394                   5.4661660546124769E18
-4.3654                   -1.7275999999999998      8.8294                   5.4853336908194918E18
2.0601                    4.239599999999999        8.8194                   5.5303946589680916E18
1.3500999999999999        -4.5356                  8.8094                   5.4796395807582812E18
-4.0752                   2.442                    8.7994                   5.4781237025665413E18
4.6726                    0.9557899999999999       8.789399999999999        5.4943083872665682E18
-2.8106                   -3.8759                  8.779399999999999        5.4457851668494602E18
-0.54781                  4.774699999999999        8.769399999999997        5.552613404421419E18
3.6429999999999993        -3.1626                  8.759399999999998        5.4450483458573373E18
-4.8406                   -0.12925                 8.749399999999998        5.4674972637983959E18
3.495                     3.3776                   8.739399999999998        5.5086381819314975E18
-0.29663                  -4.8693                  8.729399999999998        5.4409990540699075E18
-3.0816999999999997       3.8047                   8.719399999999998        5.4849072413744251E18
4.86                      -0.7264599999999999      8.709399999999999        5.452359416340778E18
-4.089                    -2.7570999999999994      8.6993                   5.4479282625680927E18
1.1568                    4.8122                   8.6893                   5.5086882136605071E18
2.4061                    -4.3451                  8.6793                   5.4465814309769103E18
-4.725799999999999        1.5842                   8.6693                   5.4465704990989742E18
4.5706                    2.0311                   8.6593                   5.4931782146468229E18
-2.0050999999999997       -4.6009                  8.6493                   5.4156977255383972E18
-1.6349                   4.7633                   8.639299999999999        5.5090302550509742E18
4.4382                    -2.4161                  8.629299999999999        5.4204722423921357E18
-4.921199999999999        -1.2205                  8.619299999999999        5.4569848518436311E18
2.8136999999999994        4.2383                   8.609299999999998        5.4803088828374569E18
0.79081                   -5.0425                  8.599299999999998        5.4318990068876964E18
-4.0024                   3.1945                   8.589299999999998        5.4441769713071084E18
5.1258                    0.34922                  8.579299999999998        5.444413643504426E18
-3.5551999999999997       -3.732                   8.569299999999998        5.4124636803322429E18
0.10089999999999999       5.17                     8.559299999999999        5.4961768118337004E18
3.4287999999999994        -3.8926999999999996      8.549299999999999        5.4076584818981857E18
