% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:19
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
-14.279999999999998       20.957999999999995       54.266999999999996       5.4240800620851302E18
24.811                    -5.8365                  54.206999999999994       5.33477718264879E18
-22.347999999999995       -12.518                  54.147                   5.3544123700282542E18
8.062699999999998         24.445999999999998       54.087                   5.3754300499825388E18
10.62                     -23.587                  54.027                   5.3127828287808399E18
-23.877999999999997       10.268                   53.967                   5.3695904276596193E18
24.659999999999997        8.598799999999999        53.907                   5.389172604630827E18
-12.433                   -23.106999999999996      53.847                   5.3003133692871741E18
-6.4704                   25.556                   53.787                   5.3033325963039508E18
22.136                    -14.539999999999997      53.727                   5.3136035762892964E18
-26.263                   -4.2502                  53.667                   5.4811891149825905E18
16.57                     20.969                   53.607                   5.335536424901376E18
1.9553999999999998        -26.773999999999997      53.547                   5.2858385415260375E18
-19.614                   18.502999999999997       53.487                   5.3401385649347123E18
27.08                     -0.3963499999999999      53.428                   5.3226819643823432E18
-20.324                   -18.079                  53.368                   5.3242817187767695E18
2.7862999999999998        27.176                   53.308                   5.2966397560496261E18
16.371999999999996        -22.014                  53.248                   5.3969681716744243E18
-27.056999999999995       5.1954                   53.188                   5.3541379221674271E18
23.559                    14.505999999999998       53.128                   5.2944487401253038E18
-7.603999999999999        -26.72                   53.068                   5.2984799777826345E18
-12.494                   24.941                   53.008                   5.3796084548163738E18
26.165999999999997        -9.992199999999999       52.948                   5.2684908419954033E18
-26.148999999999997       -10.349                  52.888                   5.2797868325144125E18
12.339999999999998        25.394999999999996       52.828                   5.379546591696681E18
8.0869                    -27.168                  52.768                   5.3860924977508065E18
-24.41                    14.627999999999998       52.708                   5.3188735187720612E18
27.989                    5.725199999999999        52.648                   5.2606799782933801E18
-16.835                   -23.216999999999995      52.589                   5.3515121551312486E18
-3.2814                   28.6                     52.529                   5.2568078930203259E18
21.821                    -18.944                  52.469                   5.3476435118120489E18
-28.994999999999997       -0.7742099999999998      52.409                   5.37489324628369E18
20.934999999999995        20.232                   52.349                   5.4426450156178616E18
-1.7768                   -29.166999999999998      52.289                   5.3100405644371108E18
-18.458999999999996       22.79                    52.229                   5.3287817024271155E18
29.110999999999997        -4.3515                  52.169                   5.325057484517931E18
-24.492999999999995       -16.515                  52.109                   5.2758895206426993E18
6.929399999999999         28.825                   52.049                   5.2725716942450719E18
14.412                    -26.026999999999997      51.989                   5.2839435384394015E18
-28.306999999999995       9.489399999999998        51.929                   5.3859760129135421E18
27.378                    12.166                   51.869                   5.2580071127904625E18
-12.010999999999997       -27.559999999999995      51.80899999999999        5.2398740826139924E18
-9.7933                   28.531999999999996       51.75                    5.3205658091116349E18
26.585                    -14.473                  51.69                    5.2479269860104806E18
-29.478                   -7.3106                  51.63                    5.2261026814551839E18
16.854                    25.386999999999997       51.57                    5.2765231098582866E18
4.7369                    -30.204                  51.51                    5.397886454213289E18
-23.973999999999997       19.135                   51.45                    5.2553952433530757E18
30.703999999999997        2.0918                   51.39                    5.204165970936066E18
-21.296                   -22.354999999999997      51.33                    5.3108368873396716E18
0.60436                   30.968                   51.27                    5.2306683559555379E18
20.538                    -23.317                  51.21                    5.3675299942890967E18
-30.992999999999995       3.3305999999999996       51.15                    5.2911559068508754E18
25.182                    18.537999999999997       51.09                    5.2406875113408205E18
-6.065299999999999        -30.775                  51.03                    5.2479212920199823E18
-16.366999999999997       26.872999999999998       50.96999999999999        5.3515968191353068E18
30.314                    -8.786699999999998       50.911                   5.2571474421123062E18
-28.373999999999995       -14.04                   50.851                   5.2615861198416968E18
11.472999999999999        29.609                   50.791                   5.2447396834146836E18
11.575999999999999        -29.672                  50.731                   5.2400500962287596E18
-28.664                   14.102                   50.671                   5.2729754912526582E18
30.753                    8.9907                   50.611                   5.2449741118409544E18
-16.652                   -27.482999999999997      50.551                   5.3012876891601807E18
-6.304599999999999        31.606                   50.491                   5.2086622233680261E18
26.073999999999998        -19.102                  50.431                   5.2054815345499126E18
-32.222                   -3.5377                  50.371                   5.1966983473198141E18
21.431                    24.444                   50.311                   5.2924300074636329E18
0.71118                   -32.593                  50.25099999999999        5.319676958985474E18
-22.605                   23.619                   50.190999999999995       5.2192903772786995E18
32.71399999999999         -2.1531                  50.13099999999999        5.1846949757292564E18
-25.648                   -20.568                  50.07099999999999        5.264959064728279E18
5.0328                    32.581                   50.012                   5.1968529187680911E18
18.348                    -27.498999999999995      49.952                   5.232508925023572E18
-32.192                   7.9051                   49.892                   5.2689557684897065E18
29.155999999999995        15.96                    49.832                   5.1866772222639329E18
-10.746999999999998       -31.547999999999995      49.772                   5.1906191421880556E18
-13.421999999999999       30.603999999999996       49.712                   5.2463632895199242E18
30.650999999999996        -13.536                  49.652                   5.2086301402126561E18
-31.827999999999996       -10.750999999999998      49.592                   5.1797167153699103E18
16.248999999999995        29.505                   49.53199999999999        5.1934274458719795E18
7.9692                    -32.818                  49.471999999999994       5.2455363512838472E18
-28.117                   18.864                   49.41199999999999        5.1824552448951214E18
33.562                    5.095799999999999        49.35199999999999        5.1948386607162819E18
-21.36                    -26.496                  49.291999999999994       5.2382244802699244E18
-2.1531                   34.05199999999999        49.23199999999999        5.1922474915339459E18
24.651999999999997        -23.714                  49.173                   5.239726029090943E18
-34.28199999999999        0.8363599999999999       49.113                   5.1679708079250432E18
25.908                    22.597                   49.053                   5.1799281152090399E18
-3.8493999999999997       -34.24799999999999       48.993                   5.2857454453171436E18
-20.346                   27.922                   48.933                   5.2679604552970783E18
33.94599999999999         -6.8624                  48.873                   5.1444034865969981E18
-29.738999999999997       -17.914                  48.813                   5.2061959179113964E18
9.851599999999998         33.378                   48.75299999999999        5.1571112471931238E18
15.319                    -31.342                  48.69299999999999        5.1621512461978604E18
-32.545                   12.793                   48.632999999999996       5.2067035461945385E18
32.717                    12.58                    48.57299999999999        5.2234835584089006E18
-15.663999999999998       -31.449999999999996      48.51299999999999        5.1774816115378258E18
-9.7174                   33.85                    48.452999999999996       5.1391819815676457E18
30.100999999999996        -18.439                  48.392999999999994       5.1910116336762849E18
-34.732                   -6.7521                  48.334                   5.1397291809639547E18
21.098                    28.504999999999995       48.274                   5.261150402201684E18
3.7067999999999994        -35.351                  48.214                   5.1919390183841044E18
-26.674                   23.617                   48.154                   5.1397876229822341E18
35.70199999999999         0.60478                  48.094                   5.1605416933940193E18
-25.974999999999998       -24.617999999999995      48.034                   5.190348881402326E18
2.5301999999999993        35.779                   47.97399999999999        5.1392513927627295E18
22.351999999999997        -28.154                  47.913999999999994       5.1906694467000545E18
-35.577999999999996       5.6736                   47.85399999999999        5.1314670335849554E18
30.133                    19.893                   47.79399999999999        5.128506515344001E18
-8.8009                   -35.1                    47.733999999999995       5.2051602589875825E18
-17.258                   31.896                   47.67399999999999        5.195091277952386E18
34.345                    -11.886999999999999      47.61399999999999        5.1737064059060716E18
-33.42699999999999        -14.465                  47.553999999999995       5.1355966671727565E18
14.907999999999998        33.31699999999999        47.49399999999999        5.1387024277951754E18
11.536999999999999        -34.71099999999999       47.435                   5.1485395302554327E18
-32.022                   17.839999999999996       47.375                   5.14207353793421E18
35.73799999999999         8.4939                   47.315                   5.2564491583807283E18
-20.658                   -30.466999999999995      47.255                   5.1238796036527862E18
-5.3593                   36.496                   47.19499999999999        5.0971043248926239E18
28.664                    -23.339                  47.13499999999999        5.1064371425899305E18
-36.977                   -2.157                   47.074999999999996       5.1008627887124705E18
25.862                    26.623                   47.01499999999999        5.1033709714831278E18
-1.0884                   -37.175999999999995      46.95499999999999        5.1888256738195046E18
-24.359                   28.205                   46.894999999999996       5.1674231162904904E18
37.087999999999994        -4.352                   46.834999999999994       5.1382374000904397E18
-30.348                   -21.888                  46.77499999999999        5.1279722090289787E18
7.608199999999999         36.712                   46.714999999999996       5.1680191358028175E18
19.226999999999997        -32.274                  46.655                   5.076278274679724E18
-36.049                   10.830999999999998       46.596                   5.0892543457443584E18
33.965                    16.396                   46.536                   5.1311855270459433E18
-13.996                   -35.102                  46.47599999999999        5.0700663121202975E18
-13.415999999999999       35.406                   46.41599999999999        5.1015665737643837E18
33.875                    -17.077999999999996      46.355999999999995       5.1749373754087772E18
-36.584                   -10.309                  46.29599999999999        5.1281661362273659E18
